Student_ID,Major_Category,Pre_GPA,Weekly_GenAI_Hours,Traditional_Study_Hours,Post_GPA,Skill_Retention_Score,Anxiety_Level_During_Exams,Burnout_Risk_Level,GPA_Improvement,Study_AI_Ratio
132777,Medical,2.92,6,9.43,3.66,75.68,6.0,Low,0.74,1.57
137210,STEM,3.01,20,12.07,3.75,100.0,7.0,High,0.74,0.6
146796,STEM,2.50,8,20.37,3.24,88.69,3.0,Medium,0.74,2.55
100857,STEM,3.27,10,2.74,4.00,81.59,4.0,Low,0.73,0.27
103742,Arts,3.20,11,19.05,3.93,64.36,6.0,Medium,0.73,1.73
105952,STEM,2.81,6,15.47,3.54,76.47,4.0,High,0.73,2.58
124449,STEM,3.25,28,14.25,3.98,85.68,5.0,High,0.73,0.51
124951,STEM,2.52,40,20.68,3.25,67.45,3.0,High,0.73,0.52
131672,Arts,2.86,12,10.22,3.59,79.57,1.0,Medium,0.73,0.85
137582,Medical,3.04,8,22.35,3.77,100.0,4.0,Medium,0.73,2.79
143305,Medical,3.13,9,9.41,3.86,82.07,6.0,Medium,0.73,1.05
146115,STEM,2.20,16,15.15,2.93,63.62,6.0,High,0.73,0.95
101097,STEM,3.28,28,18.09,4.00,76.44,5.0,Medium,0.72,0.65
103351,STEM,2.99,12,12.15,3.71,94.95,6.0,High,0.72,1.01
129353,STEM,3.10,8,1.64,3.82,57.43,2.0,Medium,0.72,0.21
131106,Medical,2.98,12,17.65,3.70,89.35,4.0,High,0.72,1.47
136322,Medical,2.56,8,22.03,3.28,71.42,3.0,Medium,0.72,2.75
141700,STEM,2.38,23,12.1,3.10,97.33,4.0,High,0.72,0.53
145665,STEM,3.25,8,19.9,3.97,87.9,3.0,Medium,0.72,2.49
148447,Business,3.27,20,13.17,3.99,64.78,10.0,High,0.72,0.66
100014,STEM,3.23,8,25.3,3.94,64.47,3.0,Medium,0.71,3.16
100110,STEM,2.38,10,21.84,3.09,96.15,2.0,Low,0.71,2.18
100410,STEM,2.04,30,16.22,2.75,65.48,4.0,High,0.71,0.54
105636,STEM,3.29,10,19.12,4.00,95.46,3.0,Medium,0.71,1.91
110019,STEM,2.94,6,8.31,3.65,90.81,7.0,Medium,0.71,1.39
112299,STEM,3.08,11,26.77,3.79,28.09,4.0,High,0.71,2.43
118622,Business,3.09,7,10.6,3.80,77.06,1.0,Low,0.71,1.51
120268,Humanities,3.29,10,28.16,4.00,89.59,3.0,High,0.71,2.82
122501,Humanities,2.01,19,14.54,2.72,57.43,5.0,High,0.71,0.77
124790,STEM,3.29,25,17.83,4.00,97.34,5.0,High,0.71,0.71
130886,Business,2.76,12,20.46,3.47,73.11,4.0,High,0.71,1.71
131223,Medical,3.05,13,23.03,3.76,68.23,5.0,High,0.71,1.77
131986,Business,2.92,7,14.79,3.63,80.3,9.0,Medium,0.71,2.11
134568,Business,2.49,9,9.07,3.20,63.24,5.0,High,0.71,1.01
135776,STEM,2.64,16,12.09,3.35,90.9,6.0,High,0.71,0.76
135862,STEM,2.81,17,18.42,3.52,78.89,6.0,High,0.71,1.08
136530,Humanities,2.67,14,9.26,3.38,82.09,2.0,High,0.71,0.66
138202,STEM,2.79,26,6.98,3.50,54.15,2.0,High,0.71,0.27
138593,STEM,3.04,19,15.72,3.75,62.15,7.0,High,0.71,0.83
139778,Humanities,2.76,6,24.07,3.47,75.55,1.0,Low,0.71,4.01
140331,STEM,2.79,7,6.13,3.50,81.09,4.0,High,0.71,0.88
141531,STEM,2.85,14,18.3,3.56,83.16,4.0,High,0.71,1.31
102028,Medical,3.30,9,15.94,4.00,76.38,2.0,Medium,0.70,1.77
104411,STEM,2.76,16,13.89,3.46,77.04,6.0,High,0.70,0.87
106511,STEM,2.22,36,10.53,2.92,100.0,10.0,High,0.70,0.29
107596,Medical,3.10,7,14.17,3.80,84.68,5.0,Medium,0.70,2.02
107861,STEM,2.92,14,14.61,3.62,73.62,5.0,Low,0.70,1.04
108031,Humanities,3.01,6,18.4,3.71,74.03,6.0,Low,0.70,3.07
111256,Medical,3.21,7,19.59,3.91,99.41,5.0,High,0.70,2.8
111452,Business,2.80,14,16.3,3.50,78.63,2.0,Medium,0.70,1.16
115093,Humanities,3.09,10,15.44,3.79,72.98,5.0,Medium,0.70,1.54
115430,STEM,2.83,11,17.48,3.53,93.69,6.0,Medium,0.70,1.59
117464,STEM,3.06,6,13.6,3.76,100.0,5.0,Medium,0.70,2.27
122122,STEM,2.99,9,20.98,3.69,100.0,3.0,Low,0.70,2.33
124974,STEM,3.26,9,7.32,3.96,86.47,4.0,Medium,0.70,0.81
127401,Medical,3.17,13,10.13,3.87,98.71,1.0,Medium,0.70,0.78
129356,Medical,2.29,9,16.39,2.99,91.41,4.0,Low,0.70,1.82
132228,STEM,3.30,10,9.2,4.00,80.3,3.0,High,0.70,0.92
132555,STEM,3.30,7,20.23,4.00,89.33,1.0,Low,0.70,2.89
132742,STEM,2.64,11,12.25,3.34,83.03,5.0,Medium,0.70,1.11
133152,STEM,2.91,20,15.01,3.61,89.99,6.0,High,0.70,0.75
133258,Humanities,3.05,9,19.39,3.75,82.73,2.0,High,0.70,2.15
134661,Business,3.13,11,15.86,3.83,83.62,5.0,High,0.70,1.44
135102,STEM,3.30,14,17.62,4.00,100.0,2.0,Medium,0.70,1.26
139214,STEM,3.06,9,13.43,3.76,84.84,6.0,Low,0.70,1.49
143218,STEM,2.76,31,28.8,3.46,78.26,1.0,High,0.70,0.93
149727,STEM,3.24,11,15.09,3.94,100.0,4.0,Medium,0.70,1.37
100774,Humanities,2.80,12,20.36,3.49,68.78,2.0,Medium,0.69,1.7
101412,STEM,2.45,6,13.01,3.14,95.42,4.0,High,0.69,2.17
101874,Arts,2.64,7,8.91,3.33,87.8,2.0,Medium,0.69,1.27
105219,STEM,3.04,7,18.4,3.73,95.37,4.0,Medium,0.69,2.63
105725,STEM,2.88,29,15.32,3.57,85.8,7.0,High,0.69,0.53
108904,Arts,3.31,15,20.68,4.00,86.26,4.0,High,0.69,1.38
109746,Business,3.19,13,12.05,3.88,87.01,6.0,Medium,0.69,0.93
109968,STEM,3.13,8,10.9,3.82,100.0,8.0,Medium,0.69,1.36
110199,STEM,2.49,9,16.21,3.18,75.16,3.0,Low,0.69,1.8
115380,STEM,2.61,6,15.32,3.30,94.29,5.0,Low,0.69,2.55
118194,STEM,3.07,20,9.79,3.76,93.21,1.0,Medium,0.69,0.49
119151,Business,3.31,29,8.53,4.00,100.0,1.0,High,0.69,0.29
123660,Business,3.08,8,7.5,3.77,75.36,5.0,High,0.69,0.94
124841,STEM,2.95,12,8.76,3.64,91.16,5.0,High,0.69,0.73
131148,Medical,2.76,10,15.46,3.45,100.0,2.0,Medium,0.69,1.55
132956,Arts,2.62,11,21.55,3.31,78.16,8.0,High,0.69,1.96
134145,Business,2.83,12,6.83,3.52,59.37,6.0,Low,0.69,0.57
141056,Business,3.20,7,17.29,3.89,68.86,2.0,Medium,0.69,2.47
141451,STEM,3.21,17,11.93,3.90,100.0,4.0,High,0.69,0.7
143446,Medical,2.99,16,22.6,3.68,82.71,5.0,High,0.69,1.41
145958,Business,3.31,11,19.68,4.00,86.42,2.0,Low,0.69,1.79
149424,STEM,3.17,19,13.12,3.86,83.74,5.0,High,0.69,0.69
100248,Medical,2.31,14,10.08,2.99,100.0,2.0,Medium,0.68,0.72
103747,Business,3.32,18,12.56,4.00,52.04,5.0,Medium,0.68,0.7
104793,STEM,3.19,25,11.38,3.87,79.28,6.0,High,0.68,0.46
104850,STEM,2.76,23,8.91,3.44,100.0,6.0,Medium,0.68,0.39
104997,STEM,2.87,9,11.7,3.55,88.17,4.0,Medium,0.68,1.3
105504,Humanities,2.55,9,16.39,3.23,76.42,1.0,High,0.68,1.82
106559,Arts,2.59,31,14.66,3.27,51.74,10.0,High,0.68,0.47
107610,STEM,3.32,8,22.35,4.00,69.84,1.0,Medium,0.68,2.79
109454,STEM,2.23,18,13.07,2.91,60.08,4.0,Medium,0.68,0.73
109472,Business,3.06,8,13.74,3.74,86.58,6.0,Medium,0.68,1.72
112533,STEM,3.18,7,13.42,3.86,100.0,6.0,Medium,0.68,1.92
112961,STEM,3.02,8,13.25,3.70,68.58,4.0,Low,0.68,1.66
114863,STEM,2.99,12,16.58,3.67,80.02,4.0,Medium,0.68,1.38
115934,STEM,2.74,40,15.81,3.42,63.81,10.0,High,0.68,0.4
118726,STEM,3.29,10,8.51,3.97,100.0,2.0,High,0.68,0.85
120701,Medical,3.25,18,20.37,3.93,73.05,5.0,High,0.68,1.13
122755,Medical,3.27,15,15.39,3.95,78.51,10.0,High,0.68,1.03
123618,Humanities,2.29,9,19.11,2.97,95.28,4.0,High,0.68,2.12
125815,Arts,2.76,11,15.21,3.44,73.58,7.0,High,0.68,1.38
136620,STEM,3.32,20,19.6,4.00,100.0,4.0,High,0.68,0.98
137148,Medical,2.94,21,5.58,3.62,100.0,6.0,High,0.68,0.27
140300,STEM,3.07,10,20.66,3.75,100.0,4.0,Low,0.68,2.07
142164,STEM,2.25,36,6.39,2.93,69.3,4.0,High,0.68,0.18
143180,Arts,2.95,12,9.95,3.63,89.0,2.0,Medium,0.68,0.83
144223,Arts,2.39,9,18.4,3.07,80.82,4.0,Medium,0.68,2.04
145676,Humanities,3.25,13,24.17,3.93,100.0,10.0,High,0.68,1.86
145890,Arts,3.17,20,13.45,3.85,100.0,7.0,High,0.68,0.67
147351,STEM,2.04,17,20.73,2.72,100.0,7.0,Medium,0.68,1.22
148902,Arts,3.09,8,18.71,3.77,69.81,6.0,Medium,0.68,2.34
149996,Business,2.90,12,13.36,3.58,66.16,2.0,High,0.68,1.11
101579,Business,3.29,9,16.21,3.96,97.55,4.0,Medium,0.67,1.8
102811,STEM,2.19,6,15.73,2.86,89.05,5.0,Low,0.67,2.62
105152,STEM,3.03,9,22.86,3.70,100.0,2.0,Medium,0.67,2.54
106645,STEM,3.13,7,13.53,3.80,100.0,3.0,Medium,0.67,1.93
110848,Medical,3.21,6,19.64,3.88,89.77,2.0,High,0.67,3.27
112688,STEM,2.86,9,17.07,3.53,89.12,5.0,Medium,0.67,1.9
113493,STEM,2.72,10,10.89,3.39,95.08,3.0,Low,0.67,1.09
115072,STEM,3.10,7,21.52,3.77,90.63,6.0,Medium,0.67,3.07
120225,Business,3.13,21,16.5,3.80,86.35,2.0,High,0.67,0.79
120606,Business,2.87,6,18.07,3.54,100.0,3.0,Low,0.67,3.01
123046,Humanities,3.06,33,10.04,3.73,60.12,8.0,High,0.67,0.3
126110,Business,3.33,10,12.31,4.00,95.43,5.0,Medium,0.67,1.23
127358,STEM,2.84,17,15.33,3.51,94.7,4.0,Medium,0.67,0.9
127368,Medical,2.29,9,24.47,2.96,74.91,4.0,Low,0.67,2.72
127646,STEM,2.53,19,21.14,3.20,75.05,9.0,Medium,0.67,1.11
128732,STEM,2.76,12,14.78,3.43,82.16,10.0,Medium,0.67,1.23
129672,Medical,2.47,10,21.92,3.14,88.25,7.0,High,0.67,2.19
131496,Arts,3.13,7,21.03,3.80,68.81,6.0,Low,0.67,3.0
132202,Humanities,3.33,9,24.45,4.00,100.0,2.0,Medium,0.67,2.72
132674,STEM,3.33,17,7.69,4.00,87.16,7.0,Low,0.67,0.45
133712,Business,3.07,11,15.55,3.74,67.28,3.0,High,0.67,1.41
137408,Arts,2.53,10,19.93,3.20,81.72,6.0,Medium,0.67,1.99
138758,Business,2.78,10,23.05,3.45,86.0,6.0,Low,0.67,2.31
139386,Humanities,2.61,16,23.59,3.28,97.15,5.0,High,0.67,1.47
139823,STEM,2.56,32,18.54,3.23,77.15,8.0,High,0.67,0.58
140058,STEM,2.72,27,14.02,3.39,100.0,8.0,High,0.67,0.52
141072,Humanities,3.07,9,16.38,3.74,73.5,3.0,Low,0.67,1.82
141162,STEM,3.33,40,15.07,4.00,78.26,6.0,High,0.67,0.38
141252,Medical,3.33,8,7.62,4.00,61.26,1.0,Low,0.67,0.95
141797,Business,2.97,10,19.12,3.64,85.15,6.0,Medium,0.67,1.91
142984,STEM,3.12,6,13.15,3.79,100.0,7.0,Medium,0.67,2.19
143008,Humanities,3.25,20,17.38,3.92,67.25,8.0,High,0.67,0.87
143742,STEM,3.33,6,21.23,4.00,75.27,6.0,Low,0.67,3.54
146334,Arts,3.30,15,12.25,3.97,99.51,1.0,Medium,0.67,0.82
149229,Arts,2.83,10,20.98,3.50,91.98,9.0,Low,0.67,2.1
149878,STEM,1.98,35,15.87,2.65,91.06,4.0,Medium,0.67,0.45
102402,STEM,1.61,9,17.73,2.27,73.43,4.0,High,0.66,1.97
103579,Business,2.30,6,19.95,2.96,75.49,5.0,Low,0.66,3.32
108865,STEM,2.41,23,14.56,3.07,100.0,5.0,High,0.66,0.63
111349,STEM,3.09,10,18.31,3.75,90.39,4.0,Medium,0.66,1.83
111654,STEM,3.34,7,9.1,4.00,87.95,2.0,Medium,0.66,1.3
111936,STEM,3.34,27,16.59,4.00,87.85,5.0,Medium,0.66,0.61
113812,STEM,3.10,19,12.08,3.76,88.52,5.0,High,0.66,0.64
114700,Business,2.69,8,24.32,3.35,85.67,6.0,Low,0.66,3.04
116370,STEM,2.28,9,23.82,2.94,65.13,6.0,Medium,0.66,2.65
116766,STEM,2.79,35,3.46,3.45,70.77,5.0,High,0.66,0.1
119396,Business,2.77,12,18.94,3.43,79.16,4.0,Medium,0.66,1.58
119610,Business,2.40,14,21.05,3.06,84.1,4.0,Medium,0.66,1.5
120095,Business,2.85,10,12.6,3.51,90.39,5.0,Medium,0.66,1.26
126663,Business,3.03,9,23.17,3.69,89.25,3.0,High,0.66,2.57
130813,STEM,3.22,14,14.29,3.88,72.65,3.0,Medium,0.66,1.02
133269,STEM,3.24,8,21.52,3.90,99.38,3.0,High,0.66,2.69
134253,STEM,2.20,14,21.55,2.86,92.49,5.0,High,0.66,1.54
135749,STEM,2.96,22,10.69,3.62,83.84,9.0,High,0.66,0.49
135812,STEM,2.56,6,17.64,3.22,95.61,4.0,Medium,0.66,2.94
141520,Business,1.87,9,18.88,2.53,78.7,3.0,Low,0.66,2.1
141632,Business,3.34,10,22.4,4.00,83.95,1.0,High,0.66,2.24
142363,Arts,3.34,19,18.66,4.00,89.87,7.0,High,0.66,0.98
142659,STEM,3.34,40,9.98,4.00,57.49,5.0,High,0.66,0.25
143294,STEM,2.74,16,12.8,3.40,58.15,4.0,High,0.66,0.8
144393,STEM,2.75,10,20.74,3.41,89.05,9.0,Low,0.66,2.07
148600,Business,2.76,7,13.64,3.42,64.63,6.0,Medium,0.66,1.95
149803,STEM,3.19,17,18.82,3.85,76.97,5.0,Medium,0.66,1.11
100804,Business,2.85,11,23.64,3.50,91.03,4.0,Medium,0.65,2.15
102272,Humanities,2.79,6,19.72,3.44,64.96,1.0,Low,0.65,3.29
103077,Medical,3.35,7,11.5,4.00,99.21,6.0,Medium,0.65,1.64
108174,STEM,3.06,28,15.36,3.71,62.77,5.0,Medium,0.65,0.55
109027,Business,1.76,11,10.93,2.41,71.0,7.0,High,0.65,0.99
109144,Business,3.28,7,14.8,3.93,77.22,4.0,Low,0.65,2.11
110097,Business,2.88,18,14.73,3.53,88.46,4.0,Medium,0.65,0.82
112635,Business,2.13,22,20.62,2.78,62.57,4.0,High,0.65,0.94
113227,Humanities,2.84,10,20.31,3.49,80.07,5.0,Medium,0.65,2.03
113543,STEM,3.03,7,13.6,3.68,80.5,7.0,Medium,0.65,1.94
115834,STEM,3.25,8,6.57,3.90,97.59,5.0,Medium,0.65,0.82
115980,STEM,3.12,14,11.47,3.77,71.0,4.0,High,0.65,0.82
120397,STEM,3.35,36,6.45,4.00,96.65,4.0,High,0.65,0.18
122473,Arts,3.35,18,11.13,4.00,99.37,4.0,Medium,0.65,0.62
124694,STEM,3.25,8,25.2,3.90,84.97,6.0,Medium,0.65,3.15
124902,Business,3.26,10,9.84,3.91,100.0,1.0,Medium,0.65,0.98
125409,Humanities,3.17,6,20.82,3.82,73.96,2.0,Medium,0.65,3.47
129230,Arts,1.93,8,9.72,2.58,68.09,5.0,Medium,0.65,1.22
131365,Humanities,2.96,6,22.07,3.61,84.32,4.0,Medium,0.65,3.68
136990,Humanities,2.49,11,16.63,3.14,64.13,4.0,Medium,0.65,1.51
139817,Medical,2.88,19,15.63,3.53,96.68,6.0,High,0.65,0.82
140670,Business,3.35,40,20.14,4.00,57.13,6.0,High,0.65,0.5
142174,STEM,3.31,12,23.58,3.96,64.04,6.0,High,0.65,1.96
143855,STEM,3.35,18,9.56,4.00,86.75,3.0,High,0.65,0.53
144208,STEM,2.95,21,7.92,3.60,83.15,6.0,Medium,0.65,0.38
146249,Business,2.60,16,16.55,3.25,77.46,3.0,Medium,0.65,1.03
148696,Business,1.79,14,19.4,2.44,69.22,4.0,High,0.65,1.39
101597,STEM,3.36,27,16.4,4.00,100.0,6.0,High,0.64,0.61
105648,Business,3.33,8,18.01,3.97,67.73,3.0,Low,0.64,2.25
105981,Business,2.89,9,14.67,3.53,100.0,3.0,Medium,0.64,1.63
106146,STEM,2.43,15,18.69,3.07,74.99,4.0,Medium,0.64,1.25
108141,STEM,1.94,11,1.0,2.58,100.0,9.0,Medium,0.64,0.09
110787,STEM,3.17,6,23.8,3.81,100.0,3.0,Low,0.64,3.97
111974,Business,3.16,6,15.17,3.80,87.17,5.0,Medium,0.64,2.53
112227,Humanities,3.11,6,7.11,3.75,86.28,4.0,High,0.64,1.19
112843,Humanities,2.61,6,18.32,3.25,94.86,6.0,High,0.64,3.05
113028,STEM,2.41,20,6.64,3.05,86.17,5.0,Medium,0.64,0.33
113795,Medical,2.54,11,9.01,3.18,75.62,1.0,High,0.64,0.82
116256,Medical,3.36,17,20.18,4.00,100.0,2.0,Low,0.64,1.19
116899,Medical,3.13,8,13.95,3.77,98.97,4.0,Medium,0.64,1.74
118066,Arts,3.02,8,16.85,3.66,96.53,1.0,Low,0.64,2.11
118663,Humanities,2.54,10,12.39,3.18,73.98,7.0,Medium,0.64,1.24
119324,STEM,2.76,11,10.47,3.40,85.08,7.0,Medium,0.64,0.95
119464,Business,2.60,17,14.3,3.24,63.46,7.0,High,0.64,0.84
120655,Business,3.08,15,11.73,3.72,100.0,1.0,High,0.64,0.78
122167,STEM,2.88,40,20.64,3.52,54.4,7.0,High,0.64,0.52
125305,Business,3.31,6,21.24,3.95,95.51,6.0,Medium,0.64,3.54
125763,Humanities,1.94,6,18.04,2.58,73.59,5.0,Medium,0.64,3.01
126590,STEM,3.27,33,17.02,3.91,93.84,5.0,High,0.64,0.52
128258,Humanities,2.88,19,12.64,3.52,78.38,8.0,Medium,0.64,0.67
128984,STEM,3.17,21,12.45,3.81,76.69,4.0,Medium,0.64,0.59
129979,STEM,2.63,11,16.35,3.27,100.0,4.0,Medium,0.64,1.49
131447,Humanities,3.17,16,9.54,3.81,66.79,4.0,Medium,0.64,0.6
132361,Medical,3.11,12,18.09,3.75,74.79,10.0,Medium,0.64,1.51
136367,Humanities,2.98,7,20.96,3.62,80.42,6.0,Low,0.64,2.99
137187,Arts,3.36,20,9.09,4.00,100.0,6.0,High,0.64,0.45
139501,STEM,3.25,7,15.09,3.89,66.05,4.0,Low,0.64,2.16
141807,Medical,3.12,9,7.64,3.76,100.0,5.0,Medium,0.64,0.85
143366,STEM,2.47,31,9.94,3.11,66.57,7.0,High,0.64,0.32
145218,Business,3.10,12,14.69,3.74,76.33,6.0,High,0.64,1.22
103520,STEM,2.86,10,10.28,3.49,87.65,1.0,Medium,0.63,1.03
103806,Medical,2.46,23,17.27,3.09,67.27,4.0,High,0.63,0.75
106165,STEM,3.29,25,13.47,3.92,77.84,6.0,High,0.63,0.54
108810,STEM,2.30,40,7.35,2.93,71.86,3.0,Medium,0.63,0.18
108931,Humanities,3.37,12,22.92,4.00,87.36,5.0,High,0.63,1.91
109257,STEM,3.37,24,14.39,4.00,79.68,1.0,Medium,0.63,0.6
110189,STEM,2.64,40,4.75,3.27,66.77,7.0,High,0.63,0.12
111714,Humanities,2.92,9,23.18,3.55,73.97,8.0,High,0.63,2.58
112548,Business,3.35,8,11.83,3.98,70.6,4.0,High,0.63,1.48
113229,STEM,2.95,8,9.47,3.58,86.76,4.0,Low,0.63,1.18
114148,STEM,2.56,40,14.96,3.19,51.27,5.0,High,0.63,0.37
114466,Humanities,2.79,6,15.36,3.42,54.0,4.0,Medium,0.63,2.56
114701,Medical,2.46,16,13.95,3.09,83.4,4.0,Low,0.63,0.87
114706,Business,3.33,12,22.17,3.96,80.14,7.0,High,0.63,1.85
115407,Business,3.04,18,17.07,3.67,96.27,6.0,High,0.63,0.95
116575,STEM,2.98,12,8.75,3.61,100.0,7.0,High,0.63,0.73
117784,STEM,3.09,8,14.2,3.72,79.06,5.0,High,0.63,1.78
118539,STEM,3.37,18,9.59,4.00,100.0,3.0,Medium,0.63,0.53
118727,STEM,3.28,6,12.11,3.91,100.0,4.0,Medium,0.63,2.02
119740,Humanities,2.37,9,15.47,3.00,86.68,4.0,Medium,0.63,1.72
124651,STEM,2.23,14,15.78,2.86,91.34,5.0,Medium,0.63,1.13
125962,Medical,3.01,25,21.85,3.64,86.19,6.0,High,0.63,0.87
126175,Humanities,2.38,34,18.82,3.01,68.92,7.0,High,0.63,0.55
126595,STEM,3.16,8,10.84,3.79,76.3,5.0,Low,0.63,1.36
126823,Medical,2.44,13,10.37,3.07,52.5,6.0,High,0.63,0.8
127765,Arts,2.99,17,16.99,3.62,70.24,4.0,High,0.63,1.0
128551,Arts,3.37,7,12.78,4.00,80.15,2.0,Medium,0.63,1.83
130764,STEM,3.23,25,12.37,3.86,82.03,2.0,High,0.63,0.49
130866,STEM,3.19,24,7.26,3.82,100.0,4.0,High,0.63,0.3
131572,Business,2.91,40,22.1,3.54,72.11,4.0,High,0.63,0.55
133118,Business,3.18,11,15.41,3.81,96.52,4.0,Medium,0.63,1.4
133187,Business,2.29,12,15.91,2.92,56.82,9.0,High,0.63,1.33
134199,STEM,3.33,6,13.72,3.96,80.53,8.0,Medium,0.63,2.29
134325,Humanities,2.61,11,12.69,3.24,91.73,3.0,Medium,0.63,1.15
134437,STEM,3.28,12,8.38,3.91,87.89,8.0,High,0.63,0.7
138007,Humanities,3.37,7,16.69,4.00,60.58,7.0,High,0.63,2.38
