item_id,order_id,product_id,quantity,unit_price,discount_percent
I00063,O01803,P0005,5,67495,10
I00064,O04270,P0139,4,71258,4
I00065,O00740,P0412,4,30726,16
I00066,O01557,P0432,1,53620,12
I00067,O02099,P0277,1,3127,35
I00068,O04524,P0147,5,13496,35
I00069,O02859,P0420,3,49210,3
I00070,O01104,P0408,2,62602,18
I00071,O00602,P0207,4,8608,17
I00072,O04841,P0201,2,26080,38
I00073,O02413,P0008,1,78132,37
I00074,O00306,P0246,2,30949,25
I00075,O01641,P0369,3,10118,22
I00076,O01763,P0457,4,7127,21
I00077,O03784,P0142,-1,66354,37
I00078,O02298,P0221,4,6750,40
I00079,O04632,P0272,-2,72335,29
I00080,O03556,P0128,2,31352,1
I00081,O02906,P0394,1,45468,34
I00082,O02300,P0099,1,99590,35
I00083,O00679,P0224,5,15528,1
I00084,O02471,P0184,1,48498,33
I00085,O04471,P0007,2,38342,10
I00086,O02098,P0448,4,99594,32
I00087,O01338,P0165,3,55700,1
I00088,O02706,P0459,3,36331,8
I00089,O00266,P0212,4,65321,25
I00090,O03951,P0306,1,10483,15
I00091,O00027,P0415,4,26928,22
I00092,O00308,P0454,3,28248,28
I00093,O03428,P0202,5,68658,21
I00094,O01269,P0184,2,23193,34
I00095,O01367,P0458,3,13734,3
I00096,O02996,P0459,4,4880,6
I00097,O01715,P0298,5,68618,12
I00098,O01025,P0073,5,75601,13
I00099,O03294,P0454,4,63328,32
I00100,O00771,P0393,1,56648,29
I00101,O02546,P0108,4,82775,25
I00102,O04860,P0265,-3,64200,22
I00103,O00565,P0008,5,99777,16
I00104,O01547,P0494,2,35262,35
I00105,O03940,P0238,3,57364,0
I00106,O04417,P0179,3,59619,18
I00107,O04595,P0310,1,94622,25
I00108,O03251,P0007,2,44897,16
I00109,O04582,P0240,2,18382,16
I00110,O04730,P0226,3,35951,20
I00111,O00358,P0207,5,97090,17
I00112,O00398,P0445,4,79406,34
I00113,O03388,P0399,1,47869,2
I00114,O00807,P0419,3,10423,30
I00115,O04392,P0161,1,10284,33
I00116,O04670,P0482,1,33455,10
I00117,O04212,P0146,3,78173,26
I00118,O00210,P0187,2,82526,8
I00119,O04659,P0077,5,6589,31
I00120,O01519,P0159,2,63581,0
I00121,O03286,P0075,1,53260,13
I00122,O01729,P0302,4,79042,23
I00123,O00505,P0309,2,9696,19
I00124,O03553,P0227,2,49628,8
I00125,O00394,P0489,2,40731,34
I00126,O04562,P0068,5,89742,23
I00127,O03693,P0353,1,5286,40
I00128,O03524,P0036,3,27838,26
I00129,O04888,P0214,5,86836,34
I00130,O02086,P0219,3,33162,3
I00131,O02419,P0316,2,99438,17
I00132,O04117,P0418,5,10298,21
I00133,O00510,P0359,2,98611,9
I00134,O00231,P0335,5,13702,20
I00135,O00486,P0475,4,62241,38
I00136,O01717,P0287,5,38759,10
I00137,O03724,P0460,4,80698,23
I00138,O01746,P0296,2,88187,1
I00139,O01235,P0060,5,59805,40
I00140,O04751,P0091,1,91800,26
I00141,O03461,P0387,5,43766,3
I00142,O03307,P0437,3,90014,34
I00143,O00003,P0436,3,24189,6
I00144,O04588,P0014,1,27961,7
I00145,O02434,P0041,-4,7549,11
I00146,O04791,P0419,3,18618,5
I00147,O04688,P0246,4,11090,23
I00148,O00386,P0383,1,86172,24
I00149,O03498,P0157,4,95084,31
I00150,O03280,P0032,4,28608,26
I00151,O03996,P0393,1,68671,39
I00152,O04499,P0385,3,43304,2
I00153,O01327,P0450,1,34806,22
I00154,O02603,P0044,2,14961,15
I00155,O03221,P0205,5,16200,10
I00156,O04292,P0301,4,12536,32
I00157,O01205,P0497,3,1940,26
I00158,O01022,P0109,3,80728,29
I00159,O00414,P0070,4,99352,3
I00160,O01402,P0497,4,30723,0
I00161,O00145,P0464,3,44102,6
I00162,O04618,P0290,5,34457,25
I00163,O01638,P0125,5,45486,40
I00164,O03794,P0278,5,4131,8
I00165,O00957,P0122,2,23091,34
I00166,O00927,P0148,5,41754,31
I00167,O02070,P0142,2,71063,23
I00168,O04785,P0323,5,93846,17
I00169,O02867,P0082,3,77704,13
I00170,O00799,P0338,1,59767,10
I00171,O02375,P0224,1,27200,9
I00172,O04257,P0091,3,4044,19
I00173,O00711,P0394,1,89723,25
I00174,O04895,P0281,4,30576,8
I00175,O02359,P0292,1,49439,39
I00176,O03958,P0500,1,91977,12
I00177,O02074,P0472,5,37327,11
I00178,O03589,P0425,2,66078,8
I00179,O03067,P0314,3,15143,39
I00180,O02305,P0228,1,61392,20
I00181,O02020,P0407,1,65656,16
I00182,O00443,P0158,5,5605,21
I00183,O02778,P0347,5,88095,2
I00184,O00199,P0216,4,25252,36
I00185,O02985,P0435,1,51713,35
I00186,O00914,P0041,5,59122,21
I00187,O03867,P0222,3,1351,20
I00188,O00340,P0425,3,95008,11
I00189,O04155,P0366,5,3365,32
I00190,O04404,P0076,5,61847,0
I00191,O03819,P0462,5,63173,1
I00192,O04690,P0185,5,67993,5
I00193,O01469,P0378,5,62084,25
I00194,O02637,P0478,1,27515,37
I00195,O00116,P0053,4,14636,21
I00196,O04814,P0098,1,91590,38
I00197,O00290,P0315,4,22637,28
I00198,O01936,P0233,1,75380,40
I00199,O02530,P0029,5,11208,37
I00200,O01628,P0055,4,82256,4
I00201,O01987,P0482,3,76440,23
I00202,O01995,P0429,3,47852,29
I00203,O00400,P0021,2,9561,27
I00204,O04005,P0088,5,13823,11
I00205,O04662,P0489,3,69517,14
I00206,O03221,P0261,3,51138,14
I00207,O01735,P0310,5,19307,2
I00208,O03054,P0404,3,29682,15
I00209,O00846,P0272,1,35715,34
I00210,O03541,P0199,2,43153,29
I00211,O00081,P0492,5,83159,25
I00212,O00796,P0129,3,11467,29
I00213,O02359,P0448,4,6489,3
I00214,O01672,P0196,2,3475,32
I00215,O02224,P0376,4,9001,35
I00216,O00669,P0005,5,17524,0
I00217,O01793,P0290,4,38524,17
I00218,O02168,P0161,4,77359,12
I00219,O00831,P0143,2,82246,19
I00220,O03052,P0079,2,63938,4
I00221,O04773,P0473,4,79618,37
I00222,O04498,P0294,5,73008,11
I00223,O03474,P0174,5,58376,16
I00224,O03677,P0138,3,842,10
I00225,O04614,P0418,3,15658,18
I00226,O00038,P0399,3,48196,36
I00227,O02214,P0243,1,32864,0
I00228,O04599,P0470,4,77969,22
I00229,O01368,P0137,-4,35838,28
I00230,O03178,P0218,1,45505,31
I00231,O00749,P0045,3,24601,27
I00232,O00338,P0035,3,41519,39
I00233,O03582,P0351,2,57039,16
I00234,O01030,P0180,5,8295,12
I00235,O03122,P0334,1,38289,33
I00236,O00587,P0382,1,64759,20
I00237,O03937,P0486,5,54430,12
I00238,O03084,P0438,2,10270,14
I00239,O04015,P0201,4,32217,35
I00240,O04606,P0337,2,12582,15
I00241,O04047,P0235,3,507,40
I00242,O01950,P0358,4,11626,14
I00243,O00338,P0250,3,65092,23
I00244,O01125,P0410,2,49783,34
I00245,O01937,P0239,2,27385,32
I00246,O02308,P0278,4,79366,2
I00247,O04917,P0322,3,82206,32
I00248,O03572,P0477,1,2093,35
I00249,O04627,P0165,4,22859,4
I00250,O02936,P0135,4,34981,33
I00251,O00759,P0012,3,4551,30
I00252,O04939,P0085,1,74484,22
I00253,O02993,P0071,3,2323,6
I00254,O00311,P0255,5,21416,14
I00255,O04721,P0377,1,39362,0
I00256,O04785,P0126,5,23818,40
I00257,O04437,P0391,1,72090,34
I00258,O00131,P0403,4,89412,22
I00259,O00204,P0210,2,34664,1
I00260,O00823,P0062,2,36256,30
I00261,O02820,P0142,1,71915,21
I00262,O03110,P0499,1,80065,40
I00263,O01676,P0174,5,21333,37
I00264,O02525,P0341,2,39867,18
I00265,O01128,P0171,5,20779,22
I00266,O00585,P0239,1,86707,28
I00267,O01933,P0450,3,8772,1
I00268,O03866,P0211,1,576,36
I00269,O04349,P0199,2,72852,38
I00270,O04925,P0499,1,67951,23
I00271,O02281,P0150,4,13581,40
I00272,O00846,P0120,1,32079,38
I00273,O00909,P0481,3,36404,1
I00274,O00032,P0133,4,12341,17
I00275,O03195,P0121,3,76174,40
I00276,O02556,P0258,4,50931,4
I00277,O02437,P0119,5,848,20
I00278,O00962,P0176,3,46990,31
I00279,O02975,P0324,4,66365,29
I00280,O02358,P0320,5,1914,2
I00281,O04675,P0378,2,63711,28
I00282,O02603,P0397,4,48140,23
I00283,O01855,P0278,1,51003,0
I00284,O04494,P0484,2,66943,13
I00285,O04514,P0451,4,25971,20
I00286,O01314,P0427,2,80973,11
I00287,O02946,P0358,4,60065,32
I00288,O01559,P0440,5,76489,9
I00289,O02897,P0337,4,18728,31
I00290,O04228,P0357,3,52169,10
I00291,O01742,P0241,2,60330,20
I00292,O00749,P0236,3,6532,18
I00293,O00516,P0292,2,31982,0
I00294,O04962,P0262,3,70627,14
I00295,O00663,P0262,2,54355,8
I00296,O03798,P0465,3,42606,39
I00297,O00029,P0436,4,40060,9
I00298,O04704,P0336,5,6206,38
I00299,O00543,P0214,4,95954,30
I00300,O04819,P0132,5,38170,26
I00301,O04851,P0002,5,85326,5
I00302,O04243,P0337,3,17051,36
I00303,O02274,P0482,4,55522,13
I00304,O00222,P0191,2,31905,34
I00305,O03759,P0089,4,54637,19
I00306,O02735,P0281,3,2168,30
I00307,O01316,P0006,3,97733,34
I00308,O02184,P0051,3,76048,9
I00309,O03143,P0266,5,6668,33
I00310,O02571,P0137,1,84489,16
I00311,O03749,P0152,2,78577,0
I00312,O04345,P0463,5,32355,3
I00313,O03026,P0384,5,6153,40
I00314,O01317,P0366,4,55318,30
I00315,O03766,P0409,1,70032,10
I00316,O03892,P0216,1,43846,6
I00317,O04996,P0006,5,756,35
I00318,O02348,P0320,5,25954,7
I00319,O03230,P0290,4,63915,19
I00320,O03018,P0470,2,96222,24
I00321,O00291,P0488,3,63754,5
I00322,O02744,P0322,1,49631,32
I00323,O03359,P0497,5,18544,32
I00324,O00624,P0129,2,6214,22
I00325,O00451,P0234,2,80092,27
I00326,O03022,P0401,4,89077,18
I00327,O03848,P0391,1,91236,29
I00328,O03089,P0166,5,62456,19
I00329,O04237,P0397,3,80768,29
I00330,O01187,P0063,2,75848,24
I00331,O03032,P0268,1,15857,28
I00332,O03631,P0180,4,56900,18
I00333,O02877,P0134,5,51156,37
I00334,O04277,P0300,3,12574,2
I00335,O04070,P0286,3,69756,27
I00336,O01662,P0203,1,35222,30
I00337,O01673,P0472,2,63016,35
I00338,O04518,P0077,5,40433,13
I00339,O04501,P0360,2,44032,39
I00340,O00448,P0436,3,11052,14
I00341,O02858,P0368,2,75318,33
I00342,O03206,P0164,2,96569,29
I00343,O03123,P0086,3,71047,23
I00344,O04144,P0022,1,8706,14
I00345,O02100,P0138,2,50368,1
I00346,O02083,P0271,2,34667,28
I00347,O02707,P0397,2,39947,38
I00348,O04664,P0353,5,85416,7
I00349,O00849,P0197,2,74931,6
I00350,O01453,P0303,3,90982,9
I00351,O00151,P0191,2,81195,1
I00352,O00927,P0246,5,22902,19
I00353,O00447,P0009,1,39770,4
I00354,O01669,P0203,1,30307,1
I00355,O04050,P0331,1,46795,24
I00356,O00206,P0135,2,64866,39
I00357,O04862,P0057,4,19880,14
I00358,O02334,P0289,3,8795,10
I00359,O00220,P0061,-1,32636,27
I00360,O00147,P0106,5,40278,5
I00361,O02523,P0040,2,92764,25
I00362,O02507,P0439,4,5087,37
I00363,O01957,P0350,2,85913,24
I00364,O02214,P0217,4,61905,28
I00365,O02052,P0342,3,97215,35
I00366,O02996,P0424,5,48066,37
I00367,O02279,P0103,5,27419,24
I00368,O03597,P0480,4,81079,9
I00369,O03180,P0196,4,17563,39
I00370,O04124,P0387,1,67409,15
I00371,O04874,P0307,4,67761,25
I00372,O03629,P0387,5,94256,1
I00373,O01876,P0396,1,17388,28
I00374,O03555,P0197,3,64761,21
I00375,O04931,P0454,3,58049,2
I00376,O02715,P0196,2,38280,39
I00377,O02075,P0475,3,28729,30
I00378,O03892,P0287,5,78412,16
I00379,O03664,P0084,5,61944,22
I00380,O00985,P0180,3,85506,21
I00381,O00274,P0136,1,81582,12
I00382,O02130,P0417,2,67305,8
I00383,O02581,P0020,3,87241,40
I00384,O01237,P0049,3,38447,12
I00385,O00869,P0069,2,89325,10
I00386,O04538,P0280,4,17438,37
I00387,O04030,P0026,3,15034,16
I00388,O03130,P0478,2,90039,34
I00389,O01108,P0371,2,79662,9
I00390,O04981,P0084,5,20286,35
I00391,O04795,P0092,5,27602,11
I00392,O01808,P0254,5,82512,13
I00393,O03746,P0266,4,78864,11
I00394,O02189,P0027,3,20522,2
I00395,O04731,P0303,5,41542,16
I00396,O01836,P0033,4,79662,20
I00397,O03786,P0275,5,93727,14
I00398,O02804,P0149,2,90800,30
I00399,O01211,P0232,1,16803,37
I00400,O00933,P0360,4,85919,30
I00401,O03259,P0029,2,25049,31
I00402,O02276,P0182,1,97014,0
I00403,O02030,P0341,5,84384,37
I00404,O01158,P0335,5,64267,11
I00405,O02717,P0293,2,6174,34
I00406,O03164,P0329,4,75949,31
I00407,O04243,P0337,1,70601,3
I00408,O04790,P0119,-2,95685,17
I00409,O03406,P0012,2,82779,8
I00410,O01808,P0362,5,91925,22
I00411,O03781,P0124,3,60307,32
I00412,O00172,P0413,5,48394,34
I00413,O03526,P0419,1,75509,14
I00414,O01484,P0343,5,65072,19
I00415,O04299,P0237,2,20501,18
I00416,O03894,P0459,1,96510,36
I00417,O00405,P0373,1,62203,7
I00418,O01665,P0283,3,69084,32
I00419,O01366,P0441,2,63450,5
I00420,O00570,P0448,2,97182,10
I00421,O00389,P0058,2,39371,32
I00422,O00952,P0361,3,28918,28
I00423,O03194,P0362,3,85925,38
I00424,O03838,P0498,2,99946,37
I00425,O04823,P0136,2,48170,35
I00426,O01647,P0445,-5,58315,24
I00427,O02536,P0137,5,57682,33
I00428,O03389,P0102,2,89349,12
I00429,O00941,P0239,1,56586,10
I00430,O04206,P0483,1,76694,19
I00431,O02493,P0152,4,2157,5
I00432,O04616,P0273,2,26078,32
I00433,O02958,P0175,1,66496,15
I00434,O02421,P0260,2,56623,31
I00435,O00277,P0410,4,76928,21
I00436,O03204,P0270,1,26096,15
I00437,O03452,P0399,5,30681,20
I00438,O01908,P0129,2,92619,17
I00439,O00843,P0491,4,89086,40
I00440,O02138,P0042,2,7949,30
I00441,O01205,P0315,2,28699,4
I00442,O03211,P0381,2,51447,1
I00443,O01332,P0178,4,57489,22
I00444,O03286,P0186,5,5047,15
I00445,O00583,P0178,4,73175,27
I00446,O00388,P0028,1,7880,33
I00447,O00670,P0159,4,23138,19
I00448,O02701,P0380,1,94218,1
I00449,O04074,P0327,3,87014,28
I00450,O03720,P0124,2,20392,18
I00451,O04566,P0158,2,85622,8
I00452,O03869,P0229,4,49953,15
I00453,O00097,P0419,4,48036,29
I00454,O00139,P0319,4,66471,40
I00455,O00092,P0432,4,67806,15
I00456,O00450,P0085,4,28472,1
I00457,O02664,P0470,3,3310,28
I00458,O01897,P0365,1,25725,31
I00459,O01830,P0304,-1,64922,29
I00460,O00694,P0378,3,83578,18
I00461,O01383,P0328,1,1292,6
I00462,O00836,P0177,3,37225,25
I00463,O01023,P0365,3,7970,21
I00464,O01895,P0077,4,44886,4
I00465,O01648,P0347,1,95968,40
I00466,O01959,P0331,2,4384,13
I00467,O02483,P0251,5,31259,14
I00468,O01493,P0301,4,76910,30
I00469,O01551,P0068,4,59335,22
I00470,O02614,P0221,3,1203,6
I00471,O04900,P0428,1,6764,0
I00472,O00914,P0323,5,9381,25
I00473,O02891,P0025,5,63081,27
I00474,O01377,P0387,1,9856,17
I00475,O04829,P0242,3,89915,39
I00476,O04967,P0042,5,13311,2
I00477,O00944,P0226,1,11874,8
I00478,O03105,P0459,-5,58602,26
I00479,O01180,P0040,4,79724,15
I00480,O04812,P0183,1,26153,5
I00481,O00373,P0119,2,55048,33
I00482,O01385,P0338,4,33150,23
I00483,O03771,P0238,3,84886,0
I00484,O00214,P0166,2,8707,37
I00485,O00320,P0297,-1,66152,15
I00486,O03292,P0172,2,36423,7
I00487,O04297,P0257,3,81535,37
I00488,O00986,P0067,3,27405,18
I00489,O01537,P0013,2,28058,26
I00490,O00028,P0061,3,47895,32
I00491,O02185,P0056,3,69259,4
I00492,O03153,P0146,4,39245,2
I00493,O02590,P0481,1,82807,34
I00494,O01962,P0363,4,30012,21
I00495,O02291,P0234,4,53353,33
I00496,O01792,P0277,4,76572,10
I00497,O02340,P0170,2,67513,9
I00498,O00548,P0001,5,26177,12
I00499,O00634,P0145,2,14245,12
I00500,O03999,P0370,3,71720,9
I00501,O00699,P0466,3,35338,0
I00502,O01557,P0334,3,23475,1
I00503,O03700,P0356,1,26412,27
I00504,O03061,P0036,5,18040,11
I00505,O01381,P0387,1,31396,7
I00506,O02461,P0192,4,551,8
I00507,O04876,P0256,3,94148,39
I00508,O03990,P0022,1,51917,19
I00509,O03251,P0320,5,36104,2
I00510,O04346,P0179,4,17328,26
I00511,O04493,P0141,4,14159,8
I00512,O01430,P0240,3,57086,12
I00513,O00676,P0395,4,17031,20
I00514,O01425,P0282,1,96219,9
I00515,O00394,P0051,2,14858,22
I00516,O03029,P0326,1,30981,31
I00517,O02221,P0422,1,96537,22
I00518,O03641,P0426,4,99936,5
I00519,O00337,P0066,5,83973,31
I00520,O01639,P0319,2,62038,40
I00521,O01402,P0032,5,33704,17
I00522,O02020,P0291,4,4358,10
I00523,O04851,P0383,2,66176,12
I00524,O03887,P0101,5,7799,6
I00525,O02987,P0124,4,36879,1
I00526,O04168,P0150,5,28546,1
I00527,O04961,P0500,1,1562,28
I00528,O02147,P0357,1,40034,1
I00529,O04844,P0391,4,46937,7
I00530,O01188,P0166,1,85861,22
I00531,O03168,P0005,4,28469,40
I00532,O00269,P0337,4,83259,21
I00533,O02689,P0272,5,15713,15
I00534,O04239,P0180,3,27189,30
I00535,O00381,P0345,4,83223,37
I00536,O03046,P0393,4,55997,33
I00537,O00390,P0088,1,79883,3
I00538,O03538,P0275,1,50099,27
I00539,O00198,P0205,4,59234,33
I00540,O00145,P0061,1,61909,0
I00541,O04375,P0443,5,35163,23
I00542,O04436,P0148,-4,45917,10
I00543,O03685,P0129,4,39002,28
I00544,O02392,P0422,2,15554,20
I00545,O02041,P0340,5,8351,18
I00546,O01240,P0368,5,38971,33
I00547,O03200,P0383,5,17231,21
I00548,O00297,P0139,3,8971,6
I00549,O02742,P0253,1,24594,9
I00550,O01943,P0375,1,74889,40
I00551,O04696,P0259,2,56800,18
I00552,O04828,P0260,1,8789,26
I00553,O00149,P0090,2,81032,39
I00554,O04016,P0470,2,82022,6
I00555,O03705,P0442,2,82897,10
I00556,O02216,P0051,5,28417,26
I00557,O04062,P0184,4,90264,26
I00558,O00340,P0116,5,64999,12
I00559,O03156,P0169,1,22820,36
I00560,O02690,P0058,5,42881,15
I00561,O04655,P0160,2,15522,33
I00562,O01376,P0294,-5,83123,37
I00563,O03149,P0289,5,33646,28
I00564,O03949,P0285,-3,83548,24
I00565,O04627,P0294,3,8771,12
I00566,O04281,P0286,4,38636,21
I00567,O04115,P0110,1,36789,33
I00568,O03613,P0124,2,14506,37
I00569,O02091,P0204,4,67593,38
I00570,O02827,P0289,2,74122,18
I00571,O02813,P0275,5,13592,8
I00572,O00626,P0326,5,98370,3
I00573,O02391,P0412,1,64934,12
I00574,O00004,P0169,4,48157,25
I00575,O04648,P0139,5,13841,5
I00576,O02980,P0296,1,12354,13
I00577,O00754,P0498,4,5212,35
I00578,O01334,P0089,2,62591,26
I00579,O01116,P0380,2,46318,6
I00580,O02912,P0102,3,71634,7
I00581,O00071,P0005,4,29164,11
I00582,O03725,P0227,-2,39898,17
I00583,O02158,P0240,5,86862,32
I00584,O03791,P0002,2,56230,37
I00585,O01394,P0051,5,44051,20
I00586,O02152,P0484,1,28689,37
I00587,O03006,P0072,3,3579,3
I00588,O02692,P0400,1,56720,22
I00589,O03935,P0392,3,21759,24
I00590,O01091,P0044,2,8251,4
I00591,O01590,P0236,1,60609,27
I00592,O03324,P0123,5,17889,12
I00593,O04357,P0358,4,43892,21
I00594,O03859,P0322,2,28650,9
I00595,O02684,P0109,2,4172,6
I00596,O01334,P0282,2,95470,7
I00597,O03154,P0195,2,87224,20
I00598,O00704,P0348,1,94813,24
I00599,O01677,P0451,2,24972,7
I00600,O01117,P0236,1,39802,0
I00601,O00963,P0075,4,72587,19
I00602,O03484,P0336,1,61685,30
I00603,O03571,P0352,4,47153,40
I00604,O04190,P0427,1,51653,37
I00605,O04105,P0382,5,84337,6
I00606,O04897,P0027,3,29022,0
I00607,O01713,P0475,3,74203,2
I00608,O03035,P0046,3,82276,40
I00609,O02578,P0449,2,67718,12
I00610,O00305,P0117,1,73473,4
I00611,O01337,P0436,5,93275,16
I00612,O04377,P0316,2,10845,2
I00613,O04676,P0196,1,46100,38
I00614,O03626,P0266,5,47299,21
I00615,O03170,P0117,2,85751,25
I00616,O01165,P0365,1,67008,32
I00617,O03724,P0037,1,20801,12
I00618,O04329,P0198,3,69319,38
I00619,O00478,P0266,5,68854,8
I00620,O00530,P0429,-2,76583,37
I00621,O00044,P0278,3,88030,18
I00622,O01695,P0162,4,30833,27
I00623,O01138,P0167,-1,93513,9
I00624,O03464,P0198,2,27774,37
I00625,O04268,P0043,2,69033,39
I00626,O03706,P0463,2,43802,7
I00627,O04120,P0485,1,90820,20
I00628,O02528,P0137,-1,19236,24
I00629,O01655,P0269,3,7506,15
I00630,O02901,P0500,2,16540,24
I00631,O03073,P0394,3,13324,33
I00632,O02964,P0227,3,57587,27
I00633,O00134,P0142,1,18837,9
I00634,O02590,P0274,4,82504,29
I00635,O04834,P0402,2,70079,9
I00636,O02782,P0002,4,13057,31
I00637,O03381,P0241,1,31951,8
I00638,O04699,P0115,5,94422,23
I00639,O02799,P0440,5,12124,36
I00640,O04628,P0148,1,76858,4
I00641,O03450,P0098,-1,88523,13
I00642,O01661,P0059,2,14340,18
I00643,O03449,P0409,3,12812,21
I00644,O00924,P0151,2,1742,25
I00645,O00703,P0143,5,63627,33
I00646,O01052,P0363,3,80366,9
I00647,O01650,P0187,2,7542,4
I00648,O03360,P0141,4,99361,11
I00649,O00056,P0463,5,66362,2
I00650,O01177,P0295,2,87289,18
I00651,O02617,P0309,4,49864,19
I00652,O00262,P0220,4,77353,4
I00653,O02046,P0168,2,85914,26
I00654,O02114,P0437,4,4406,31
I00655,O04634,P0378,1,96731,4
I00656,O01227,P0091,1,28277,22
I00657,O00686,P0312,4,23997,8
I00658,O01154,P0202,1,83234,16
I00659,O02360,P0272,4,46960,39
I00660,O03851,P0360,4,78156,6
I00661,O01458,P0267,1,74752,1
I00662,O01957,P0316,3,28975,36
I00663,O01514,P0336,2,38878,39
I00664,O02723,P0139,4,20856,24
I00665,O03143,P0146,2,34529,5
I00666,O02699,P0243,1,44422,19
I00667,O01951,P0179,1,18051,18
I00668,O04231,P0265,5,28899,21
I00669,O01466,P0068,3,70845,24
I00670,O03247,P0208,2,25505,12
I00671,O02191,P0149,3,35198,29
I00672,O02850,P0043,5,79647,21
I00673,O02468,P0414,5,37242,37
I00674,O03697,P0282,5,67734,29
I00675,O02669,P0165,5,47279,24
I00676,O00107,P0407,5,47745,35
I00677,O00464,P0393,-2,87917,30
I00678,O04745,P0038,1,83221,34
I00679,O03947,P0152,4,65036,37
I00680,O03808,P0440,1,86096,40
I00681,O01032,P0190,2,86467,33
I00682,O02588,P0312,1,67832,37
I00683,O02641,P0095,1,96093,29
I00684,O00278,P0367,2,17345,8
I00685,O03494,P0210,5,59788,13
I00686,O00272,P0145,3,21986,12
I00687,O03438,P0322,3,66716,9
I00688,O04023,P0132,3,92184,30
I00689,O04009,P0229,3,65287,34
I00690,O01605,P0459,5,15619,27
I00691,O03438,P0092,1,92952,10
I00692,O04737,P0442,5,56182,36
I00693,O01487,P0394,2,8974,21
I00694,O01609,P0339,2,51813,22
I00695,O00833,P0439,4,65102,32
I00696,O01584,P0293,5,12454,14
I00697,O03380,P0338,1,16574,28
I00698,O04210,P0447,3,32009,32
I00699,O02626,P0436,4,61864,11
I00700,O03721,P0347,3,93609,9
I00701,O02461,P0030,-4,38301,0
I00702,O00456,P0076,2,24711,21
I00703,O00374,P0121,1,73095,2
I00704,O01379,P0119,2,56978,35
I00705,O01305,P0371,4,56509,13
I00706,O03164,P0284,1,48839,24
I00707,O02554,P0005,3,91320,26
I00708,O03690,P0464,5,28236,22
I00709,O01435,P0144,5,14074,11
I00710,O02842,P0401,2,36076,18
I00711,O02731,P0461,3,4666,15
I00712,O00222,P0483,3,97824,34
I00713,O02680,P0257,5,51360,34
I00714,O01611,P0270,3,36016,11
I00715,O03335,P0144,5,15799,25
I00716,O01168,P0413,2,91812,1
I00717,O02581,P0170,1,89996,5
I00718,O01487,P0068,4,87455,27
I00719,O01739,P0472,5,81530,22
I00720,O01059,P0027,2,33135,5
I00721,O02578,P0337,2,51233,20
I00722,O01831,P0282,4,27780,35
I00723,O03311,P0229,-5,51413,2
I00724,O02839,P0327,5,91175,2
I00725,O02985,P0171,3,36541,40
I00726,O03197,P0227,2,81422,10
I00727,O00054,P0235,3,71151,31
I00728,O01763,P0477,2,63347,10
I00729,O02623,P0295,3,42549,25
I00730,O01428,P0248,4,51124,33
I00731,O00825,P0413,5,18658,10
I00732,O02936,P0183,5,12422,22
I00733,O03380,P0135,2,29055,34
