order_id,customer_id,order_date,status,region_code
O00082,C0341,2025-08-04 01:47:22,DELIVERED,South
O00083,UNKNOWN,2025-04-07 10:52:23,SHIPPED,East
O00084,C0312,2026-03-09 06:35:37,SHIPPED,South
O00085,C0698,2025-01-06 07:49:19,DELIVERED,East
O00086,C0571,2024-08-07 20:16:41,DELIVERED,West
O00087,C0785,2026-02-11 12:57:55,RETURNED,South
O00088,C0056,2026-03-18 07:04:09,CANCELLED,East
O00089,C0740,2026-04-30 00:34:34,SHIPPED,West
O00090,C0893,2025-08-10 00:18:35,SHIPPED,West
O00091,UNKNOWN,2024-08-02 18:56:03,PLACED,South
O00092,C0926,2025-06-12 10:55:04,RETURNED,South
O00093,C0442,2025-10-17 08:34:14,SHIPPED,East
O00094,C0331,2025-11-02 11:17:24,PLACED,South
O00095,C0704,2025-10-07 11:46:25,RETURNED,North
O00096,UNKNOWN,2026-07-08 22:39:36,SHIPPED,North
O00097,C0948,2024-09-29 14:48:46,DELIVERED,West
O00098,C0242,2024-12-08 01:21:17,RETURNED,North
O00099,C0615,2026-01-31 09:11:12,RETURNED,East
O00100,C0889,2025-12-01 17:27:31,RETURNED,South
O00101,C0925,2026-03-15 23:14:41,PLACED,East
O00102,C0928,2026-01-27 09:17:16,SHIPPED,East
O00103,C0984,2025-01-14 09:31:47,CANCELLED,West
O00104,C0801,2024-10-01 00:30:53,PLACED,North
O00105,C0123,2025-06-06 12:06:31,DELIVERED,East
O00106,C0876,2025-04-02 04:40:36,RETURNED,North
O00107,C0691,2026-06-10 00:08:11,RETURNED,East
O00108,C0444,2025-10-30 04:22:50,PLACED,North
O00109,C0101,2024-10-23 13:54:51,DELIVERED,North
O00110,C0256,2025-04-18 04:12:21,SHIPPED,South
O00111,C0207,2024-11-11 21:22:37,PLACED,West
O00112,C0720,2026-05-08 20:27:31,PLACED,East
O00113,C0689,2025-01-18 15:29:09,PLACED,East
O00114,C0458,2025-08-14 01:12:00,SHIPPED,East
O00115,C0036,2025-06-09 03:11:44,CANCELLED,West
O00116,C0932,2026-03-30 13:33:15,DELIVERED,North
O00117,C0953,2026-01-11 22:54:10,PLACED,West
O00118,C0484,2026-03-17 12:37:19,SHIPPED,East
O00119,C0654,2026-02-24 06:12:42,CANCELLED,West
O00120,C0756,2024-11-14 11:19:25,SHIPPED,East
O00121,C0406,2025-02-11 07:49:03,RETURNED,East
O00122,C0999,2026-03-14 14:56:21,SHIPPED,North
O00123,C0755,2025-01-11 00:29:28,DELIVERED,East
O00124,C0521,2024-11-27 15:01:37,CANCELLED,East
O00125,C0778,2026-06-15 00:16:38,RETURNED,North
O00126,C0788,2025-01-23 11:31:16,RETURNED,South
O00127,C0536,2025-04-13 08:47:59,SHIPPED,South
O00128,C0482,2025-11-01 03:46:43,PLACED,South
O00129,C0830,2024-07-29 08:03:14,PLACED,South
O00130,C0875,2025-08-24 18:50:02,RETURNED,South
O00131,C0784,2025-01-19 13:41:15,DELIVERED,West
O00132,C0295,2024-09-01 08:04:17,RETURNED,North
O00133,C0460,2026-04-17 08:21:46,RETURNED,South
O00134,C0221,2024-11-23 13:02:41,DELIVERED,South
O00135,C0722,2026-02-19 19:52:27,RETURNED,South
O00136,C0067,2024-12-04 07:56:59,DELIVERED,East
O00137,C0262,2025-11-10 09:25:26,RETURNED,South
O00138,C0519,2026-07-01 20:27:06,RETURNED,South
O00139,C0225,2026-02-19 03:45:31,RETURNED,North
O00140,C0986,2024-07-12 18:08:48,RETURNED,North
O00141,C0992,2026-04-11 09:49:52,DELIVERED,South
O00142,C0664,2025-04-04 10:18:23,CANCELLED,South
O00143,C0795,2026-04-18 07:44:02,DELIVERED,West
O00144,C0932,2026-05-30 05:23:32,DELIVERED,West
O00145,UNKNOWN,2025-05-04 16:38:39,DELIVERED,South
O00146,C0823,2024-07-16 01:36:14,SHIPPED,West
O00147,C0917,2025-06-21 05:20:09,SHIPPED,North
O00148,C0350,2026-07-04 22:53:46,SHIPPED,East
O00149,C0981,2026-03-08 12:50:01,SHIPPED,South
O00150,C0177,2026-05-08 07:24:19,SHIPPED,East
O00151,C0894,2025-11-08 18:59:00,RETURNED,East
O00152,C0546,2024-07-30 08:52:55,CANCELLED,East
O00153,C0728,2026-03-05 01:20:00,SHIPPED,South
O00154,C0770,2024-09-15 05:07:58,DELIVERED,West
O00155,C0712,2026-06-08 02:34:35,CANCELLED,South
O00156,C0267,2025-04-21 00:57:32,DELIVERED,East
O00157,C0840,2026-01-11 16:08:26,DELIVERED,North
O00158,C0730,2025-02-08 19:29:44,CANCELLED,West
O00159,C0807,2026-03-11 20:06:42,DELIVERED,West
O00160,C0832,2025-10-10 01:13:29,SHIPPED,West
O00161,C0313,2026-02-08 08:56:59,DELIVERED,West
O00162,C0930,2026-01-02 06:02:07,DELIVERED,North
O00163,C0739,2025-12-07 23:09:01,CANCELLED,East
O00164,C0688,2026-04-14 08:56:42,DELIVERED,West
O00165,UNKNOWN,2024-12-24 02:49:01,DELIVERED,West
O00166,C0143,2026-03-07 21:23:36,SHIPPED,West
O00167,C0346,2026-02-18 19:05:40,RETURNED,South
O00168,C0558,2026-02-11 15:19:21,PLACED,East
O00169,C0346,2026-07-08 10:43:37,RETURNED,West
O00170,C0681,2025-12-01 11:18:32,PLACED,West
O00171,C0466,2026-06-03 12:39:33,RETURNED,North
O00172,C0058,2025-03-27 13:40:01,SHIPPED,East
O00173,C0721,2025-02-14 15:14:45,SHIPPED,South
O00174,C0324,2024-12-30 15:17:25,RETURNED,South
O00175,C0701,2024-10-17 10:36:33,PLACED,West
O00176,C0758,2024-12-11 06:09:32,RETURNED,East
O00177,UNKNOWN,2026-04-30 12:40:18,PLACED,South
O00178,C0768,2026-03-24 01:03:38,RETURNED,South
O00179,C0140,2024-10-02 12:30:19,PLACED,North
O00180,C0800,2025-04-24 13:49:55,PLACED,West
O00181,UNKNOWN,2024-11-11 22:42:21,DELIVERED,North
O00182,C0387,2025-09-23 00:57:29,DELIVERED,North
O00183,C0935,2025-08-10 08:44:59,CANCELLED,North
O00184,UNKNOWN,2024-09-30 14:15:07,DELIVERED,East
O00185,C0204,2025-04-02 00:14:09,PLACED,South
O00186,C0626,2024-10-27 04:32:58,SHIPPED,East
O00187,C0760,2025-12-10 10:58:05,PLACED,North
O00188,C0917,2026-04-26 19:34:25,SHIPPED,West
O00189,UNKNOWN,2024-10-11 14:32:56,DELIVERED,North
O00190,C0456,2026-04-16 04:02:24,DELIVERED,West
O00191,C0839,2025-05-13 18:05:30,PLACED,South
O00192,UNKNOWN,2024-12-25 20:49:12,CANCELLED,South
O00193,C0300,2025-03-06 12:22:17,PLACED,East
O00194,C0362,2025-06-24 08:56:41,RETURNED,North
O00195,C0559,2024-11-10 14:02:26,SHIPPED,South
O00196,C0554,2025-04-08 04:04:49,SHIPPED,South
O00197,C0419,2024-09-17 11:00:03,CANCELLED,South
O00198,C0840,2024-08-23 10:55:26,SHIPPED,South
O00199,C0993,2026-05-07 01:55:39,RETURNED,West
O00200,C0936,2025-06-01 15:40:39,RETURNED,North
O00201,C0126,2025-04-04 07:36:45,RETURNED,North
O00202,C0731,2025-03-20 05:57:05,PLACED,West
O00203,C0909,2025-05-15 23:19:14,DELIVERED,East
O00204,C0998,2024-12-16 12:04:57,DELIVERED,West
O00205,C0576,2025-06-14 05:24:03,PLACED,West
O00206,C0633,2026-07-11 09:24:02,DELIVERED,South
O00207,C0212,2025-05-30 18:41:44,PLACED,West
O00208,C0270,2025-01-10 16:41:55,RETURNED,North
O00209,C0935,2026-01-08 08:31:12,SHIPPED,South
O00210,C0548,2026-04-25 09:32:01,RETURNED,South
O00211,C0126,2024-02-09 00:00:00,RETURNED,North
O00212,C0806,2025-09-21 17:11:47,CANCELLED,West
O00213,C0452,2026-01-22 07:33:31,CANCELLED,West
O00214,C0763,2025-07-23 17:06:47,SHIPPED,West
O00215,C0574,2025-03-04 18:35:06,DELIVERED,North
O00216,C0245,2024-11-12 13:34:58,RETURNED,East
O00217,C0302,2026-06-29 23:53:23,SHIPPED,South
O00218,C0172,2025-03-25 12:32:34,PLACED,North
O00219,C0491,2024-10-26 03:49:03,DELIVERED,East
O00220,C0193,2026-03-06 20:33:11,DELIVERED,West
O00221,C0746,2024-12-20 14:55:42,DELIVERED,North
O00222,C0001,2024-08-11 21:13:56,RETURNED,South
O00223,C0442,2025-03-05 08:17:26,DELIVERED,West
O00224,C0796,2025-04-01 13:03:16,PLACED,North
O00225,C0201,2025-05-23 05:20:17,SHIPPED,East
O00226,C0283,2024-09-12 21:16:26,CANCELLED,South
O00227,C0440,2025-06-19 18:19:38,RETURNED,North
O00228,C0174,2026-04-19 16:23:14,SHIPPED,West
O00229,C0432,2026-02-11 18:25:09,CANCELLED,North
O00230,C0388,2025-05-10 16:14:51,SHIPPED,West
O00231,C0603,2025-03-05 15:58:12,DELIVERED,North
O00232,C0844,2025-02-11 22:35:47,DELIVERED,North
O00233,C0333,2025-12-22 01:44:06,DELIVERED,West
O00234,C0030,2024-07-22 12:15:28,RETURNED,North
O00235,C0569,2025-01-15 16:31:17,PLACED,South
O00236,C0639,2024-09-15 09:17:49,PLACED,West
O00237,C0131,2024-08-18 13:40:37,DELIVERED,North
O00238,C0624,2024-10-15 09:40:49,CANCELLED,South
O00239,C0329,2025-02-12 14:30:20,SHIPPED,South
O00240,C0548,2025-11-03 16:54:17,CANCELLED,East
O00241,C0339,2025-06-30 09:15:00,PLACED,West
O00242,C0713,2025-01-16 12:01:25,RETURNED,South
O00243,C0980,2024-11-30 10:18:53,DELIVERED,North
O00244,C0792,2026-05-21 17:23:53,CANCELLED,South
O00245,C0757,2024-10-04 17:45:46,SHIPPED,East
O00246,C0281,2026-03-10 16:47:53,RETURNED,South
O00247,C0089,2024-07-16 11:40:51,SHIPPED,South
O00248,C0855,2025-10-20 09:37:40,CANCELLED,North
O00249,C0005,2024-12-26 06:20:55,CANCELLED,North
O00250,C0266,2026-03-15 21:41:20,DELIVERED,East
O00251,C0835,2025-09-05 22:17:33,SHIPPED,South
O00252,C0877,2025-12-15 19:58:53,RETURNED,South
O00253,C0696,2024-10-25 03:24:15,RETURNED,West
O00254,C0658,2026-01-01 18:33:51,PLACED,East
O00255,C0469,2026-03-26 12:57:55,DELIVERED,West
O00256,C0887,2025-09-10 15:05:43,PLACED,East
O00257,C0189,2026-01-02 05:20:42,CANCELLED,South
O00258,C0269,2026-04-24 01:25:04,DELIVERED,West
O00259,C0633,2025-08-24 23:17:55,DELIVERED,North
O00260,C0684,2025-09-07 14:27:52,PLACED,North
O00261,C0724,2025-10-03 19:30:51,DELIVERED,West
O00262,C0991,2024-12-21 08:22:55,RETURNED,South
O00263,C0805,2025-05-06 19:54:58,SHIPPED,East
O00264,C0231,2025-08-17 14:09:28,SHIPPED,North
O00265,C0652,2026-04-24 22:36:11,CANCELLED,South
O00266,C0781,2025-04-15 10:50:28,PLACED,South
O00267,C0643,2025-08-29 11:43:25,CANCELLED,South
O00268,C0440,2025-12-09 10:57:50,CANCELLED,East
O00269,C0671,2025-11-05 00:00:00,DELIVERED,North
O00270,C0165,2026-07-11 02:35:48,SHIPPED,North
O00271,C0204,2025-01-28 00:29:24,CANCELLED,West
O00272,C0582,2025-03-10 09:05:10,DELIVERED,South
O00273,C0126,2025-08-25 20:24:16,SHIPPED,South
O00274,C0392,2026-01-13 01:27:18,CANCELLED,South
O00275,C0319,2025-06-01 07:12:00,SHIPPED,West
O00276,C0609,2026-02-09 08:26:37,SHIPPED,North
O00277,UNKNOWN,2024-07-31 23:11:30,CANCELLED,East
O00278,UNKNOWN,2025-08-16 03:15:48,PLACED,West
O00279,C0347,2024-10-14 22:55:37,CANCELLED,West
O00280,C0074,2025-04-08 10:31:40,SHIPPED,East
O00281,C0174,2025-04-14 01:36:39,SHIPPED,East
O00282,UNKNOWN,2024-12-16 18:53:05,CANCELLED,West
O00283,C0115,2026-07-08 07:58:26,SHIPPED,West
O00284,C0856,2026-04-29 21:33:42,RETURNED,North
O00285,C0072,2024-10-22 21:37:48,SHIPPED,South
O00286,C0438,2024-11-06 12:33:19,CANCELLED,West
O00287,C0680,2025-04-18 02:46:15,PLACED,South
O00288,C0215,2024-11-11 15:44:49,CANCELLED,East
O00289,C0564,2025-10-19 23:44:36,CANCELLED,East
O00290,C0787,2025-06-14 20:49:31,SHIPPED,South
O00291,C0450,2025-03-05 07:27:41,CANCELLED,East
O00292,C0557,2025-12-27 07:56:22,RETURNED,East
O00293,C0920,2026-03-20 05:22:14,DELIVERED,West
O00294,C0090,2025-05-06 16:08:50,DELIVERED,North
O00295,C0600,2026-04-05 07:49:02,RETURNED,North
O00296,C0522,2026-03-04 03:23:56,DELIVERED,West
O00297,C0825,2024-11-28 02:37:52,RETURNED,West
O00298,C0407,2025-10-24 14:27:03,SHIPPED,South
O00299,C0611,2025-03-16 11:03:04,RETURNED,East
O00300,C0296,2025-11-24 22:50:41,PLACED,South
O00301,C0466,2025-03-26 17:55:59,SHIPPED,West
O00302,C0244,2026-04-24 18:11:30,DELIVERED,West
O00303,C0083,2024-10-27 23:20:12,SHIPPED,East
O00304,C0757,2024-12-09 00:00:00,PLACED,West
O00305,C0047,2024-12-30 10:01:28,DELIVERED,East
O00306,C0784,2026-05-04 23:26:36,RETURNED,East
O00307,C0038,2024-09-10 04:53:27,SHIPPED,South
O00308,C0417,2024-11-03 13:18:38,DELIVERED,South
O00309,C0119,2024-08-11 11:59:35,RETURNED,North
O00310,C0454,2025-10-15 11:09:24,RETURNED,North
O00311,C0033,2026-02-22 11:11:37,CANCELLED,West
O00312,C0796,2025-09-27 14:29:34,RETURNED,West
O00313,C0426,2024-11-29 13:31:58,DELIVERED,South
O00314,C0012,2025-12-23 02:26:04,DELIVERED,West
O00315,C0336,2025-10-21 16:46:52,DELIVERED,North
O00316,C0554,2026-02-16 21:00:38,RETURNED,South
O00317,C0394,2025-06-09 16:26:28,CANCELLED,South
O00318,C0352,2025-12-09 23:02:47,PLACED,East
O00319,C0705,2026-06-30 08:25:35,DELIVERED,North
O00320,C0202,2025-06-28 22:05:23,RETURNED,West
O00321,UNKNOWN,2026-05-13 06:05:33,SHIPPED,West
O00322,C0322,2026-05-23 03:08:13,SHIPPED,North
O00323,C0421,2026-01-26 00:00:00,CANCELLED,East
O00324,C0320,2024-10-15 15:24:55,SHIPPED,North
O00325,C0852,2024-10-28 19:06:42,RETURNED,North
O00326,UNKNOWN,2025-05-21 11:31:35,RETURNED,North
O00327,C0309,2024-12-26 01:16:43,RETURNED,West
O00328,C0439,2026-04-07 06:36:02,CANCELLED,South
O00329,C0144,2026-05-13 02:29:01,CANCELLED,West
O00330,C0435,2025-04-17 18:58:52,PLACED,East
O00331,C0443,2025-12-15 07:36:22,PLACED,East
O00332,C0046,2026-01-22 01:16:00,PLACED,North
O00333,C0532,2024-08-26 22:11:23,PLACED,South
O00334,C0247,2024-08-06 12:22:52,CANCELLED,East
O00335,C0160,2024-10-26 02:43:02,CANCELLED,North
O00336,C0799,2024-11-02 08:37:55,PLACED,North
O00337,C0036,2025-05-28 10:53:40,CANCELLED,West
O00338,C0057,2025-12-17 20:36:15,DELIVERED,East
O00339,C0613,2025-06-09 19:00:14,RETURNED,West
O00340,C0667,2026-02-15 00:00:00,CANCELLED,East
O00341,UNKNOWN,2026-01-24 18:16:55,CANCELLED,North
O00342,C0688,2026-01-28 23:17:57,PLACED,East
O00343,C0396,2025-10-04 23:02:40,RETURNED,South
O00344,C0297,2025-07-03 13:16:03,CANCELLED,West
O00345,C0212,2024-10-08 19:01:54,SHIPPED,East
O00346,C0193,2025-09-02 11:59:21,SHIPPED,North
O00347,C0845,2025-12-20 05:49:09,PLACED,East
O00348,C0198,2026-03-11 22:08:17,SHIPPED,North
O00349,C0593,2025-04-17 13:39:11,PLACED,South
O00350,UNKNOWN,2025-04-22 05:57:54,PLACED,South
O00351,C0300,2025-12-27 03:47:16,SHIPPED,West
O00352,C0475,2024-11-29 09:03:19,CANCELLED,North
O00353,C0836,2025-01-24 03:33:16,SHIPPED,South
O00354,C0042,2024-07-24 12:56:20,RETURNED,North
O00355,C0662,2025-02-15 07:35:26,PLACED,East
O00356,C0387,2025-12-10 15:07:17,CANCELLED,West
O00357,C0111,2025-10-09 17:25:00,PLACED,North
O00358,UNKNOWN,2025-02-27 16:19:48,RETURNED,East
O00359,C0488,2025-12-04 00:00:00,PLACED,North
O00360,C0993,2024-09-24 05:34:00,SHIPPED,West
O00361,C0655,2026-06-26 00:00:00,RETURNED,South
O00362,C0534,2025-09-15 18:47:16,RETURNED,West
O00363,C0631,2025-03-24 03:43:20,PLACED,West
O00364,C0478,2024-08-28 10:15:30,RETURNED,East
O00365,C0245,2025-04-03 13:28:58,CANCELLED,North
O00366,C0391,2024-10-28 01:07:47,CANCELLED,West
O00367,C0221,2024-08-06 22:21:32,RETURNED,East
O00368,C0006,2026-05-22 00:56:54,CANCELLED,North
O00369,C0640,2026-02-16 23:35:06,PLACED,East
O00370,C0028,2025-08-02 01:20:39,SHIPPED,East
O00371,C0067,2026-05-18 20:10:32,RETURNED,South
O00372,C0808,2024-11-30 16:48:17,CANCELLED,West
O00373,C0552,2026-06-15 18:49:14,CANCELLED,South
O00374,C0518,2025-11-30 22:09:40,RETURNED,North
O00375,C0332,2024-12-23 10:14:04,DELIVERED,East
O00376,C0311,2025-01-26 09:38:57,RETURNED,West
O00377,C0399,2025-08-14 20:05:17,PLACED,West
O00378,C0318,2024-08-10 14:36:24,PLACED,North
O00379,C0335,2026-06-21 18:50:05,CANCELLED,North
O00380,C0259,2024-09-28 06:07:26,DELIVERED,East
O00381,C0638,2026-02-11 12:16:06,DELIVERED,North
O00382,C0841,2026-03-06 10:22:00,CANCELLED,South
O00383,C0274,2025-04-23 03:24:22,CANCELLED,North
O00384,C0455,2026-06-01 09:00:03,DELIVERED,North
O00385,C0017,2026-04-18 20:43:18,PLACED,South
O00386,C0500,2024-09-08 17:15:22,DELIVERED,North
O00387,C0546,2026-01-27 01:19:58,SHIPPED,North
O00388,C0827,2024-09-24 23:22:47,SHIPPED,North
O00389,C0360,2025-11-19 20:11:09,SHIPPED,East
O00390,UNKNOWN,2026-05-11 09:13:35,DELIVERED,East
O00391,C0132,2025-11-17 20:14:01,PLACED,South
O00392,C0055,2025-10-02 10:53:25,CANCELLED,North
O00393,C0936,2025-08-22 10:58:00,SHIPPED,South
O00394,C0112,2025-03-09 05:59:05,RETURNED,North
O00395,C0217,2025-08-22 15:18:40,DELIVERED,West
O00396,C0932,2024-10-30 01:21:57,SHIPPED,North
O00397,C0052,2026-05-30 18:04:16,SHIPPED,East
O00398,C0993,2025-05-22 09:41:39,CANCELLED,North
O00399,C0083,2025-02-26 19:01:03,DELIVERED,South
O00400,C0424,2024-08-23 23:46:04,PLACED,East
O00401,C0949,2025-08-27 06:14:51,DELIVERED,South
O00402,C0334,2024-07-19 07:58:27,DELIVERED,East
O00403,C0462,2025-04-17 04:42:13,CANCELLED,West
O00404,C0228,2025-03-06 11:03:40,RETURNED,West
O00405,C0006,2025-02-20 23:55:19,RETURNED,North
O00406,C0205,2025-01-26 07:29:29,DELIVERED,West
O00407,C0814,2025-01-17 00:18:02,CANCELLED,East
O00408,C0677,2025-08-23 22:26:29,SHIPPED,East
O00409,C0973,2025-05-17 00:00:00,CANCELLED,East
O00410,C0704,2025-10-11 22:33:37,RETURNED,East
O00411,C0833,2026-05-13 01:34:29,PLACED,North
O00412,C0617,2026-05-08 11:19:07,SHIPPED,West
O00413,C0802,2026-07-06 03:42:39,DELIVERED,South
O00414,C0324,2025-08-01 04:06:57,CANCELLED,East
O00415,C0985,2024-08-08 22:38:55,RETURNED,West
O00416,C0942,2025-05-13 06:45:07,PLACED,West
O00417,C0701,2025-11-11 23:10:34,PLACED,West
O00418,C0240,2025-08-05 00:00:00,PLACED,East
O00419,C0116,2024-07-23 23:02:18,RETURNED,East
O00420,C0634,2026-06-01 10:21:58,CANCELLED,South
O00421,C0201,2025-10-09 18:33:54,RETURNED,West
O00422,C0629,2024-11-24 19:34:42,PLACED,West
O00423,C0433,2024-10-23 03:14:35,RETURNED,West
O00424,C0718,2026-02-04 11:00:31,DELIVERED,North
O00425,C0926,2025-08-29 22:12:31,RETURNED,West
O00426,C0166,2025-01-22 12:04:31,PLACED,East
O00427,C0295,2024-12-18 09:04:32,SHIPPED,West
O00428,C0463,2026-05-02 11:51:49,PLACED,North
O00429,C0546,2026-03-17 19:19:50,DELIVERED,North
O00430,C0657,2026-06-07 11:58:30,SHIPPED,West
O00431,C0536,2025-10-01 21:25:16,CANCELLED,South
O00432,C0942,2024-09-19 08:32:32,SHIPPED,East
O00433,C0594,2024-09-24 21:50:05,DELIVERED,North
O00434,C0578,2026-01-04 10:14:29,SHIPPED,South
O00435,C0760,2024-07-17 22:46:12,RETURNED,South
O00436,C0528,2025-10-27 15:32:09,CANCELLED,North
O00437,C0295,2025-05-10 09:39:57,RETURNED,West
O00438,C0717,2025-05-22 00:00:00,SHIPPED,West
O00439,C0135,2024-11-30 11:41:39,RETURNED,North
O00440,C0625,2025-11-22 03:53:39,PLACED,South
O00441,C0575,2024-10-31 17:58:32,CANCELLED,North
O00442,C0688,2025-09-27 21:30:41,RETURNED,East
O00443,C0494,2025-04-23 17:44:38,RETURNED,North
O00444,C0345,2025-05-03 12:17:40,DELIVERED,South
O00445,C0430,2025-09-03 05:52:54,CANCELLED,North
O00446,C0807,2025-03-11 14:15:38,PLACED,North
O00447,C0195,2025-10-03 23:22:14,CANCELLED,South
O00448,C0832,2025-04-29 09:01:46,PLACED,South
O00449,C0784,2026-04-13 17:16:39,PLACED,South
O00450,C0584,2025-10-01 20:26:36,DELIVERED,North
O00451,C0737,2026-06-20 00:29:16,DELIVERED,West
O00452,C0621,2026-01-17 19:19:58,SHIPPED,South
O00453,C0150,2025-03-20 15:21:12,RETURNED,West
O00454,C0084,2024-09-14 21:54:59,PLACED,North
O00455,C0096,2025-09-19 09:14:43,CANCELLED,East
O00456,C0863,2025-12-16 05:37:12,RETURNED,East
O00457,C0196,2024-11-05 02:27:44,CANCELLED,South
O00458,C0878,2025-05-23 11:17:23,RETURNED,West
O00459,C0856,2025-03-20 18:04:31,DELIVERED,South
O00460,C0248,2024-07-11 14:22:30,CANCELLED,West
O00461,C0581,2024-09-19 00:32:56,CANCELLED,East
O00462,C0721,2025-12-21 00:08:05,RETURNED,South
O00463,C0910,2026-04-06 23:35:44,DELIVERED,West
O00464,C0967,2024-10-19 05:19:57,RETURNED,North
O00465,C0627,2025-06-10 18:25:11,CANCELLED,North
O00466,C0456,2025-06-19 00:30:28,RETURNED,East
O00467,C0336,2025-02-21 09:55:17,RETURNED,North
O00468,C0519,2025-01-02 04:21:30,RETURNED,North
O00469,C0604,2025-01-05 14:17:12,SHIPPED,East
O00470,C0780,2025-12-19 19:29:09,CANCELLED,East
